alias,material_base_norm,material_grade_norm,confidence,source_file,source_row,review_required,review_reason
M310,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
SUS430,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
Y1Cr17,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
X12CrMoS17,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
1.4104,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
430F,430F,430F,0.95,材料价格.xlsx,23,FALSE,
SUS431,SUS431,SUS431,0.95,材料价格.xlsx,24,FALSE,
1Cr17Ni2,SUS431,SUS431,0.95,材料价格.xlsx,24,FALSE,
16MnCr5,16MnCr5,16MnCr5,0.95,材料价格.xlsx,25,FALSE,
16CrMnH,16MnCr5,16MnCr5,0.95,材料价格.xlsx,25,FALSE,
20Crmo,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
20CrMnTi,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
20Cr,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
20MV,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
20Mn2,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
20CrNi,20Crmo,20Crmo,0.95,材料价格.xlsx,26,FALSE,
30CRMO,30CRMO,30CRMO,0.95,材料价格.xlsx,27,FALSE,
35crmo,30CRMO,30CRMO,0.95,材料价格.xlsx,27,FALSE,
35NCD6,35NCD6,35NCD6,0.95,材料价格.xlsx,28,FALSE,
35NiCrMo16,35NCD6,35NCD6,0.95,材料价格.xlsx,28,FALSE,
38CrMoAL,38CrMoAL,38CrMoAL,0.95,材料价格.xlsx,29,FALSE,
41CrAlMo7,38CrMoAL,38CrMoAL,0.95,材料价格.xlsx,29,FALSE,
1.8509,38CrMoAL,38CrMoAL,0.95,材料价格.xlsx,29,FALSE,
41CrAlMo74,38CrMoAL,38CrMoAL,0.95,材料价格.xlsx,29,FALSE,
60Si2Mn,60Si2Mn,60Si2Mn,0.95,材料价格.xlsx,30,FALSE,
61SiCr7,60Si2Mn,60Si2Mn,0.95,材料价格.xlsx,30,FALSE,
25II60,60Si2Mn,60Si2Mn,0.95,材料价格.xlsx,30,FALSE,
SUP7,60Si2Mn,60Si2Mn,0.95,材料价格.xlsx,30,FALSE,
9CrWMn,9CrWMn,9CrWMn,0.95,材料价格.xlsx,31,FALSE,
100MnCrW4,9CrWMn,9CrWMn,0.95,材料价格.xlsx,31,FALSE,
1.2510,9CrWMn,9CrWMn,0.95,材料价格.xlsx,31,FALSE,
SKS3,9CrWMn,9CrWMn,0.95,材料价格.xlsx,31,FALSE,
95MnWCr1,9CrWMn,9CrWMn,0.95,材料价格.xlsx,31,FALSE,
9Mn2V,9Mn2V,9Mn2V,0.95,材料价格.xlsx,32,FALSE,
1.2842,9Mn2V,9Mn2V,0.95,材料价格.xlsx,32,FALSE,
AISI M41,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
W7Mo4Cr4V2Co5,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
T11341,AISI M41,AISI M41,0.95,材料价格.xlsx,33,FALSE,
